,org_claim,gen_claim,num_of_query,attack_result,attack_method,,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom
0,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
1,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
2,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,A diminished ovarian reserve doesn't solely indicate infertility in an a priori non-infertile population.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
3,ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
4,AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
5,ART substantially reduces infectiveness of HIV-positive people.,ART substantially reduces infectiveness of HIV-positive people.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
6,Active caspase-11 protein promotes pyroptosis.,Active caspase-11 protein promotes pyroptosis.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
7,Adult tissue-resident macrophages are seeded before birth.,Adult tissue-resident macrophages are seeded before birth.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
8,Adult tissue-resident macrophages possess a self-renewing capacity.,Adult tissue-resident macrophages possess a self-renewing capacity.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
9,Aggravated inflammation is dependent on NLRP3 inflammasome activation.,Aggravated inflammation is dependent on NLRP3 inflammasome activation.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
10,Amitriptyline is an effective treatment for chronic tension-type headaches.,Amitriptyline is an effective treatment for chronic tension-type headaches.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
11,Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.,Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
12,Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.,Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
13,Anthrax spores remain deadly until affected areas are decontaminated.,Anthrax spores remain deadly until affected areas are decontaminated.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
14,Antidepressants reduce the severity of migraines.,Antidepressants reduce the severity of migraines.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
15,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
16,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
17,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,BRCA 2 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
18,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
19,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery leads to negative outcomes in mental health.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
20,Bariatric surgery reduces colorectal cancer.,Bariatric surgery reduces colorectal cancer.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
21,Bariatric surgery reduces postmenopausal breast cancer.,Bariatric surgery reduces postmenopausal breast cancer.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
22,Basophils promote disease development in patients with systemic lupus erythematosus (SLE).,Basophils promote disease development in patients with systemic lupus erythematosus (SLE).,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
23,CCL19 is a ligand for CCR7.,CCL19 is a ligand for CCR7.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
24,COPI coatmer is involved in lipid homeostasis.,COPI coatmer is involved in lipid homeostasis.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
25,Ca2+ cycling is a UCP1-dependent thermogenic mechanism.,Ca2+ cycling is a UCP1-dependent thermogenic mechanism.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
26,Cancer cells can stimulate the accumulation of intra-tumoural myeloid-derived suppressor cells by promoting granulocyte colony stimulating factor production.,Cancer cells can stimulate the accumulation of intra-tumoural myeloid-derived suppressor cells by promoting granulocyte colony stimulating factor production.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
27,Cancers that initially benefit from epidermal growth factor receptor targeted therapies later become refractory through several mechanisms.,Cancers that initially benefit from epidermal growth factor receptor targeted therapies later become refractory through several mechanisms.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
28,"Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.","Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.",1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
29,Chenodeoxycholic acid treatment increases brown adipose tissue activity.,Chenodeoxycholic acid treatment increases brown adipose tissue activity.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
30,Cnn1 recruitment varies with cell cycle timing.,Cnn1 recruitment varies with cell cycle timing.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
31,Deregulation of HAND2 is a crucial step in endometrial carcinogenesis in mice.,Deregulation of HAND2 is a crucial step in endometrial carcinogenesis in mice.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
32,Diabetes remission occurs less in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,Diabetes remission occurs less in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
33,Egr2 regulates the homeostasis of B and T cells.,Egr2 regulates the homeostasis of B and T cells.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
34,Eilat virus (EILV) produced in mosquitos elicits rapid and long-lasting neutralizing antibodies in nonhuman primates.,Eilat virus (EILV) produced in mosquitos elicits rapid and long-lasting neutralizing antibodies in nonhuman primates.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
35,Elevated cell-free mitochondrial DNA levels are associated with mortality.,Elevated cell-free mitochondrial DNA levels are associated with mortality.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
36,Environmental factors can influence the development of breast cancer.,Environmental factors can influence the development of breast cancer.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
37,Environmentally-induced senescence is mimicked in disease modeling by adding specific molecules to the culture system.,Environmentally-induced senescence is mimicked in disease modeling by adding specific molecules to the culture system.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
38,Excess gestational weight gain is associated with obesity-related pregnancy outcomes.,Excess gestational weight gain is associated with obesity-related pregnancy outcomes.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
39,Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for Alzheimer's disease.,Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for Alzheimer's disease.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
40,Forkhead 0 (fox0) transcription factors are involved in apoptosis.,Forkhead 0 (fox0) transcription factors are involved in apoptosis.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
41,Forkhead 0 (fox0) transcription factors are involved in cellular differentiation.,Forkhead 0 (fox0) transcription factors are involved in cellular differentiation.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
42,FoxO3a activation in neuronal death is inhibited by reactive oxygen species (ROS).,FoxO3a activation in neuronal death is inhibited by reactive oxygen species (ROS).,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
43,Gastric infection with Helicobacter pylori increases risk of gastric cancer in humans.,Gastric infection with Helicobacter pylori increases risk of gastric cancer in humans.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
44,Genes involved in pre-mRNA splicing have a significant impact on genome stability.,Genes involved in pre-mRNA splicing have a significant impact on genome stability.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
45,Genetic deficiency of mast cells leads to decreased weight gain in a mouse model of diet-induced obesity.,Genetic deficiency of mast cells leads to decreased weight gain in a mouse model of diet-induced obesity.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
46,Genomic aberrations of metastases provide information for targeted therapy.,Genomic aberrations of metastases provide information for targeted therapy.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
47,"Glioblastoma multiforme (GBM) is characterized by extensive invasion, rapid growth, necrosis, and angiogenesis.","Glioblastoma multiforme (GBM) is characterized by extensive invasion, rapid growth, necrosis, and angiogenesis.",1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
48,Gpr124 suppresses BBB breakdown in mouse models of ischemic stroke.,Gpr124 suppresses BBB breakdown in mouse models of ischemic stroke.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
49,Having a main partner improves HIV outcomes.,Having a main partner improves HIV outcomes.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
50,Having a main partner worsens HIV outcomes.,Having a main partner worsens HIV outcomes.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
51,Headaches are correlated with cognitive impairment.,Headaches are correlated with cognitive impairment.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
52,Helminths interfere with immune system control of coinfections by microbial pathogens 16.,Helminths interfere with immune system control of coinfections by microbial pathogens 15.,4,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
53,High levels of CRP lead to a higher risk of exacerbations in chronic obstructive pulmonary disease (COPD).,High levels of CRP lead to a higher risk of exacerbations in chronic obstructive pulmonary disease (COPD).,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
54,"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are negatively correlated with cardiovascular events in humans.","Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are negatively correlated with cardiovascular events in humans.",1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
55,"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are positively correlated with cardiovascular events in humans.","Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are positively correlated with cardiovascular events in humans.",1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
56,Human embryonic stem cells give rise to cell types from all three embryonic germ layers.,Human embryonic stem cells give rise to cell types from all five embryonic germ layers.,3,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
57,Human embryonic stem cells have the capacity to give rise to differentiated progeny representative of all three embryonic germ layers.,Human embryonic stem cells have the capacity to give rise to differentiated progeny representative of all four embryonic germ layers.,3,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
58,"IFI16 impedes STING phosphorylation and translocation, resulting in reduced activation of STING.","IFI16 impedes STING phosphorylation and translocation, resulting in reduced activation of STING.",1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
59,IL-10 production by monocytes inhibits CD4 + T cell response.,IL-10 production by monocytes inhibits CD4 + T cell response.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
60,IL-6 signaling plays a major role in atherosclerotic cardiovascular disease.,IL-6 signaling plays a major role in atherosclerotic cardiovascular disease.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
61,Immune responses in immune cells are geographically segregated.,Immune responses in immune cells are geographically segregated.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
62,"In S. cerevisiae, the absence of RNA surveillance pathways causes sensitivity to high iron conditions.","In S. cerevisiae, the absence of RNA surveillance pathways causes sensitivity to high iron conditions.",1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
63,"In patients with congenital heart defects, β-blockers significantly improve clinical heart failure outcomes.","In patients with congenital heart defects, β-blockers significantly improve clinical heart failure outcomes.",1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
64,"In rhesus macaques, daily subcutaneous injections of tenofovir protects against rectally transmitted simian-human immunodeficiency virus.","In rhesus macaques, daily subcutaneous injections of tenofovir protects against rectally transmitted simian-human immunodeficiency virus.",1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
66,Induced hepatic stem cells possess the potential to differentiate into cholangiocytic cells.,Induced hepatic stem cells possess the potential to differentiate into cholangiocytic cells.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
67,Induced hepatic stem cells possess the potential to differentiate into hepatocytic cells.,Induced hepatic stem cells possess the potential to differentiate into hepatocytic cells.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
68,Inhibiting HDAC6 increases survival of mice with ARID1A mutated tumors.,Inhibiting HDAC6 increases survival of mice with ARID1A mutated tumors.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
69,"Inside the body, falciparum parasites reproduce asexually.","Inside the body, falciparum parasites reproduce asexually.",1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
70,Integrated care is successful at tackling multiple comorbidities.,Integrated care is successful at tackling multiple comorbidities.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
71,Interleukin-18 plays an important role in the pathogenesis of atherosclerosis.,Interleukin-18 plays an important role in the pathogenesis of atherosclerosis.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
72,Klf2 is important for proper myeloid cell function.,Klf2 is important for proper myeloid cell function.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
73,Klf4 is important for proper myeloid cell differentiation.,Klf4 is important for proper myeloid cell differentiation.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
74,LDL cholesterol has a causal role in the development of cardiovascular disease.,LDL cholesterol has a causal role in the development of cardiovascular disease.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
75,Lice attenuated SIV vaccines induce a stronger antigen-specific T cell response in lymph node cells.,Lice attenuated SIV vaccines induce a stronger antigen-specific T cell response in lymph node cells.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
76,MEK inhibitors are effective treatments in RAS-driven mouse models of cancer.,MEK inhibitors are effective treatments in RAS-driven mouse models of cancer.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
77,MICAL redox enzymes regulate actin dynamics in many cell types.,MICAL redox enzymes regulate actin dynamics in many cell types.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
78,MICAL redox enzymes regulate actin dynamics.,MICAL redox enzymes regulate actin dynamics.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
79,Medications to treat obesity are highly effective.,Medications to treat obesity are highly effective.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
80,Medications to treat obesity have unwanted side effects.,Medications to treat obesity have unwanted side effects.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
81,Men are more susceptible to death due to pneumonia when compared to women.,Men are more susceptible to death due to pneumonia when compared to women.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
82,Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in similar efficacy and better quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in similar efficacy and better quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
83,Mice lacking Sirt1 in Sf1-expressing neurons have increased susceptibility to diet-induced obesity and insulin resistance.,Mice lacking Sirt1 in Sf1-expressing neurons have increased susceptibility to diet-induced obesity and insulin resistance.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
84,Mice that lack Interferon-γ or its receptor are highly susceptible to experimental autoimmune myocarditis.,Mice that lack Interferon-γ or its receptor are highly susceptible to experimental autoimmune myocarditis.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
85,Microglia are an innate immune cell type of the central nervous system.,Microglia are an innate immune cell type of the central nervous system.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
86,Microglia are an innate immune cell type of the peripheral nervous system.,Microglia are an innate immune cell type of the peripheral nervous system.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
87,Migraine with aura is associated with ischemic stroke.,Migraine with aura is associated with ischemic stroke.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
88,Misunderstandings between doctors and patients can lead to non-adherence.,Misunderstandings between doctors and patients can lead to non-adherence.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
89,Mitochondria play a major role in apoptosis.,Mitochondria play a major role in apoptosis.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
90,Mitochondria play a major role in energy production.,Mitochondria play a major role in energy production.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
91,Monoclonal antibody targeting of N-cadherin inhibits growth.,Monoclonal antibody targeting of N-cadherin inhibits growth.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
92,Myelin sheaths play a role in action potential propagation.,Myelin sheaths play a role in action potential propagation.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
93,Natriuretic peptides protect against diabetes.,Natriuretic peptides protect against diabetes.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
94,Neutrophils produce IL-1β in response to large particles.,Neutrophils produce IL-1β in response to large particles.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
95,Nonsteroidal antinflammatory drugs show potential anticancer indications.,Nonsteroidal antinflammatory drugs show potential anticancer indications.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
96,PD-1 triggering on monocytes enhances IL-10 production by monocytes.,PD-1 triggering on monocytes enhances IL-10 production by monocytes.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
97,PKG-la does not have a large impact on expression of pain hypersensitivity in PGK-la knockout mice.,PKG-la doesn't have a large impact on expression of pain hypersensitivity in PGK-la knockout mice.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
98,PKG-la does not have a large impact on expression of spinal long term potentiation in PGK-la knockout mice.,PKG-la doesn't have a large impact on expression of spinal long term potentiation in PGK-la knockout mice.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
99,PTEN is a regulator for the transcriptional activity of SRF,PTEN is a regulator for the transcriptional activity of SRF,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
101,Patients with common epithelial cancers  are more likely to have an emergency event as their first hospital admission if they live in resource-deprived areas.,Patients with common epithelial cancers  are more likely to have an emergency event as their first hospital admission if they live in resource-deprived areas.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
102,Phase information is useful for predicting donor-recipient matches in organ transplantation.,Phase information is useful for predicting donor-recipient matches in organ transplantation.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
103,Pioglitazone use is significantly associated with an increased risk of prostate cancer.,Pioglitazone use is significantly associated with an increased risk of prostate cancer.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
