,org_claim,gen_claim,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom,
1857,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Some antimicrobial agents are more effective due to the pressure of the use.,0,,,,,,,,
1858,Cost effectiveness evaluations based on cRCT data lack external validity.,cRCT cost effectiveness studies on based data lack external validity.,0,,,,,,,,
1859,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost - effectiveness evaluations based on cRCT data lack external validity.,1,2,,,,,12,2,
1871,Bariatric surgery has a positive impact on mental health.,Is a positive impact of bariatric surgery on mental health,0,,,,,,,,
1873,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is an inadequate response to conventional treatment, the use of non-invasive ventilation should be reduced.",1,1,,,,,"(3, 5)",,
1875,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is inadequate response to conventional treatment, a decrease should be made in non-invasive ventilation use.",0,,,,,,,,
1893,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimidants are less effective due to the pressure of antimicrobial usage.,0,,,,,,,,
1894,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,"Due to the pressure of antibacterial use, antibiotics are less effective",0,,,,,,,,
1895,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Because of the pressure caused by the antimicrobial usage, anti-bacterial agents are more effective than",0,,,,,,,,
1896,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective due to the use of antimicrobial devices.,0,,,,,,,,
1899,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness estimations based on cRCT data lack external validity.,1,1,,,,,3,,
1900,Cost effectiveness evaluations based on cRCT data lack external validity.,Costing results of effectiveness evaluations based on CRT data lack external validity.,0,,,,,,,,
1901,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness studies based on data from the CRCT lack external validity.,0,,,,,,,,
1941,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective due to a pressure of antimicrobial use.,0,,,,,,,,
1944,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost-effectiveness evaluations based on the cRCT data lack external validity.,0,,,,,,,,
1945,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness analyses based on cRCT data are lacking external validity.,1,1,,,,,"(3, 8)",,
1952,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has avait positive effect on mental health,0,,,,,,,,
1953,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has sated if a positive impact on mental health.,0,,,,,,,,
1957,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If the non-invasive ventilation is inadequate response to conventional treatment, then use should be decreased.",0,,,,,,,,
1958,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is an inadequate response to conventional treatment, the noninvasive ventilation should be decreased.",1,2,,,,,"(5, 7)",,
1982,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective in the face of the pressures of antimicron usage.,0,,,,,,,,
1983,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,"During the pressure of antimicrobial use, antimicrobial agents are less effective.",0,,,,,,,,
1986,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost - effectiveness assessment methods based on the data from CRT lack external validity.,0,,,,,,,,
1987,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on data from the RCT (CRCtratie Research Institute) lack external validity.,0,,,,,,,,
1995,Bariatric surgery has a positive impact on mental health.,"Bariatric surgery has cited, had positive impact on mental health.",0,,,,,,,,
2002,The risk of male prisoners harming themselves is ten times that of female prisoners.,The risk of males affecting self is ten times larger than those for female prisoners.,0,,,,,,,,
2041,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is no response to conventional treatment, non-invasive ventilation should be reduced.",1,2,,,,,"(5, 8)",,
2042,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,The non-invasive ventilation needs to be minimised if there is an inadequate response toward conventional treatments.,0,,,,,,,,
2073,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,The antibiotic agents are less effective due to the pressure of antimicrobial treatment.,0,,,,,,,,
2075,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antibacterial agents are more effective due to the use of antimicrobials.,0,,,,,,,,
2078,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on the data from CRCT are lacking external validity.,0,,,,,,,,
2079,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on the data of CRRTS are lacking external validity.,0,,,,,,,,
2087,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has  and has positive impact on mental health.,0,,,,,,,,
2088,Bariatric surgery has a positive impact on mental health.,"Bariatric surgery has, on the mental health hygistic effect.",0,,,,,,,,
2089,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has regulated mental health positively.,0,,,,,,,,
2094,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is inadequate response to conventional treatments, non-invasive ventilation should be reduced.",1,1,,,,,"(3, 5)",,
2095,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Non-invasive ventilation may be decreased if there is inadequate response to conventional treatment.,0,,,,,,,,
2128,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,The antimicrobials are less effective due to the pressure of anti-microbicide usage.,0,,,,,,,,
2129,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,"Because of the pressure on antimicrobials uses, an antibiotic is less effective.",0,,,,,,,,
2130,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the strain of antimicrobial usage, antibacterial agents are more effective than they were.",0,,,,,,,,
2131,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective for the antimicrobial stress.,0,,,,,,,,
2133,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost-efficiency evaluations based on CRCT data lack external validity.,0,,,,,,,,
2134,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness assessment evaluations based on cRCT data lack external validity.,0,,,,,,,,
2135,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on the data of the CRCT lack external validity.,0,,,,,,,,
2147,Bariatric surgery has a positive impact on mental health.,The bariatric surgery has ostensible positive impact on mental health.,0,,,,,,,,
2148,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has - with positive impact on mental health.,0,,,,,,,,
2152,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"if there is inadequate response to conventional treatment, it should be reduced in the use of non-invasive ventilation.",0,,,,,,,,
2153,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Need is a lessening the non-invasive ventilation use when there's an insufficient response to conventional medicine,0,,,,,,,,
2154,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,IF there is not adequate response to the conventional treatment then non-invasive ventilation should be reduced.,0,,,,,,,,
2182,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective due to pressure of the anti-bacterial usage,0,,,,,,,,
2183,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,The antimicrobial agents are stronger due to the pressure of anti-bacterial usage.,0,,,,,,,,
2185,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effect effectiveness evaluations based on cRCT data lack external validity.,0,,,,,,,,
2197,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has benefited our mind and health positively.,0,,,,,,,,
2200,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If inadequate response to conventional treatment is made, non-invasive ventilation should be reduced.",0,,,,,,,,
2220,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,"Due to the pressure of antimicrobial use, bacterial agents are less effective.",0,,,,,,,,
2234,Bariatric surgery has a positive impact on mental health.,"The bariatric surgery has, on mental health positive consequences.",0,,,,,,,,
2235,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has sprcial impact on mental health,0,,,,,,,,
2239,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,To reduce non-invasive ventilation should be used if there is inadequate response to conventional treatment.,0,,,,,,,,
2240,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Non-invasive ventilation – Use of should be reduced if there is an inadequate response to conventional treatment,0,,,,,,,,
2242,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Non-invasive ventilation use should be reduced if there is an inadequate response to conventional treatment.,1,1,,,,,"(3, 7)",,
2263,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Due to the pressure of antimicrobial use are more effective products.,0,,,,,,,,
2270,Pharmacist attendance at ward rounds increases adverse events in wards.,Pharmacists attending wards increases adverse events in ward-level treatment.,0,,2,1,8,5,,,
2274,Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.,Students who perform poorly in the first years of medical school are less likely to commit later professional misconduct.,1,1,,,,,"(3, 5, 6)",,
2280,Bariatric surgery has a positive impact on mental health.,"Bariatric surgery has n, positively impacting on the mental health.",0,,,,,,,,
2307,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the pressure of antimicrobial usage, more active are Antibacterial agents due",0,,,,,,,,
2308,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are effective due to the pressure of antibacterial use.,0,,,,,,,,
2310,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on the data of cRCT are lacking external validity.,1,1,,,,,7,,
2321,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has effected on mental health positives.,0,,,,,,,,
2327,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Non-invasive ventilation use should be reduced if there is inadequate response to convention treatments,0,,,,,,,,
2328,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If a conventional treatment cannot be effectively applied to non-invasive ventilation, it should decrease.",0,,,,,,,,
2350,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,We see that antibacterial agents are less effective because of the pressure generated by antimicrobial usage.,0,,,,,,,,
2351,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Some antimicrobial agents are more effective due to the pressure of antibacterial usage.,0,,,,,,,,
2352,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective due to the increased use of antibacterial substances.,0,,,,,,,,
2366,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"When there is a negative response to conventional treatment, the non-invasive ventilation must be decreased.",0,,,,,,,,
2390,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Anti-biotic agents are less effective due to the pressure of antimicrobial usage.,0,,,,,,,,
2391,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective due to the sensitivity of antibacterial use.,0,,,,,,,,
2392,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"As a result, anti-microbial agents are more effective due to the pressure and uses of antimicrobials.",0,,,,,,,,
2394,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on a cRCT dataset lack external validity,0,,,,,,,,
2395,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on cRCT data are lacking external validity.,1,1,,,,,8,,
2407,Bariatric surgery has a positive impact on mental health.,Bariatric surgery can benefit our mental health.,1,2,,,,,8,,
2411,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Needle ventilation should be reduced if there is inadequate response to conventional treatment.,0,,,,,,,,
2412,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Not-invasive ventilation should be reduced if there is an inadequate response to conventional therapies.,1,1,,,,,3,,
2434,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluating efforts based on CRCT-derived data lack external validity,0,,,,,,,,
2435,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on data of the cRCT lack external validity.,0,,,,,,,,
2449,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has boosted health and mental function.,0,,,,,,,,
2476,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective from the pressure of anti-microbes use.,0,,,,,,,,
2477,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective due to the pressure of anti-immunication.,0,,,,,,,,
2478,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the pressure of antimicrobial use, antibacterial agents are more effective.",0,,,,,,,,
2482,Cost effectiveness evaluations based on cRCT data lack external validity.,Evaluations of cost effectiveness based on the RCT-based data lack external validity.,0,,,,,,,,
2497,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has viewed positive effects on mental health.,0,,,,,,,,
2498,Bariatric surgery has a positive impact on mental health.,"The bariatric surgery is having, in fact has positive results on mental health.",0,,,,,,,,
2499,Bariatric surgery has a positive impact on mental health.,A bariatric surgery has ostensibly positive effects on mental health,0,,,,,,,,
2502,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"Whenever there is inadequate response to conventional treatment, the noninvasive ventilation should be decreased.",0,,,,,,,,
2503,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is inadequate response to conventional treatment, the need for non-invasive ventilation should be reduced.",0,,,,,,,,
2533,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations on cRCT-data lack external validity.,1,1,,,,,12,,
2548,The DESMOND program demonstrates no significant impact on lifestyles outcomes.,The DESMOND program does not have a significant influence on the quality of life and outcomes,0,,,,,,,,
2551,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has. on mental health: positive impact,0,,,,,,,,
2552,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has viewed as having if a positive effect on the mental health of the patient.,0,,,,,,,,
2580,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antibacterial agents are more effective from the antimicrobial pressure used.,0,,,,,,,,
2581,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial substances are more effective due to the pressure of anti-microbial use.,1,1,,,,,12,,
2582,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Thanks to the use of antimicrobial agents, they are more effective",0,,,,,,,,
2593,The DESMOND program demonstrates no significant impact on lifestyles outcomes.,The DESMOND programme demonstrates no significant impact on life-long outcomes.,0,,,,,,,,
2595,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has influenced - positively to mind and mental health,0,,,,,,,,
2596,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has benefited about mental health.,0,,,,,,,,
2597,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has benefited from positive mental health.,0,,,,,,,,
2599,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,If inadequate effectiveness of noninvasive ventilation treatment is needed then a reduction should be provided.,0,,,,,,,,
2600,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is not enough response to conventional treatment, the non-invasive ventilation use should be decreased.",1,3,,,,,"(5, 8)",1,
2631,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Some antimicrobial agents are less effective because of the pressure of antimicrobial usage.,0,,,,,,,,
2640,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has  positive results on mental health'.,0,,,,,,,,
2642,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"if there is an inadequate response to conventional treatments, then use of non-invasive ventilation should be diminuated.",0,,,,,,,,
2644,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If a conventional treatment does not respond inefficiently to non-invasive ventilation use, the rate of removal should be reduced",0,,,,,,,,
2645,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is inadequate response to conventional treatment, the need for non-invasive ventilation should be decreased.",0,,,,,,,,
2676,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective under the pressure of antimicrobial use.,0,,,,,,,,
2677,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are fewer effective as a result of the pressured use antimicrobials,0,,,,,,,,
2678,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Anti-microbial agents are more effective due to the antimicrobiome.,0,,,,,,,,
2691,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has – and has had positive impacts on mental health.,0,,,,,,,,
2692,Bariatric surgery has a positive impact on mental health.," Bariatric surgery has, in fact have been to positively impact on mental health.",0,,,,,,,,
2696,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is inadequate response to conventional treatment, non-invasive ventilation should be reduced.",1,1,,,,,"(3, 5)",,
2697,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.," Non-invasive ventilation should be reduced, when there is inadequate response to conventional treatment.",1,2,,,,,"(3, 12)",2,
2742,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has. A positive impact on mental health is seen,0,,,,,,,,
2743,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has shaved into  mental health positive,0,,,,,,,,
2748,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If conventional treatment is inadequate, the use of non-invasive ventilation should be decreased.",1,1,,,,,5,,
2749,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is inadequate response to conventional treatment, the non-invasive ventilation use should be reduced.",1,2,,,,,"(3, 5, 7)",,
2774,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Anti-microbial agents are more effective due to antibacterial usage.,0,,,,,,,,
2784,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has resonant positive impact on mental health,0,,,,,,,,
2818,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antibacterial agents are less effective by the pressure of antimicrobial use.,0,,,,,,,,
2819,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Increasing pressure on the antimicrobial use makes them less effective.,0,,,,,,,,
2820,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the pressure of antimicrobial use, there are more effective anti-bacterial agents.",0,,,,,,,,
2823,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness assessments based on the RCT data are lacking in external validity.,0,,,,,,,,
2830,Bariatric surgery has a positive impact on mental health.,"Bariatric surgery has, on the mental health positive effects.",1,3,,,,,"(5, 8)",2,
2831,Bariatric surgery has a positive impact on mental health.,The bariatric surgery has  positive impact> on mental health,0,,,,,,,,
2858,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,"Due to the pressure of antimicrobial use, other antibiotics are less effective.",0,,,,,,,,
2859,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,"Due to the pressure of antimicrobial usage, less effective agents are.",0,,,,,,,,
2860,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antibacterial agents are more effective due to the pressure of anti-microbial use.,0,,,,,,,,
2861,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the pressure of antimicrobial use, antibacterial agents are more effective",0,,,,,,,,
2862,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"As a result of the antimicrobial use pressure, an antibacterial agent is more effective in treating certain infections.",0,,,,,,,,
2863,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the influence of antimicrobials, agents are more effective.",0,,,,,,,,
2873,Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.,Students who perform poorly in the early years of medical school are less likely to engage into professional behaviour later in their career.,0,,,,,,,,
2875,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has – A positive effect on mental health.,0,,,,,,,,
2912,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has compared to positive effect on the mental health of the patient.,0,,,,,,,,
2916,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,A noninvasive ventilation use should be decreased if there is an insufficient response to conventional treatment.,0,,,,,,,,
2917,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is an inadequate response to conventional treatment, non-invasive ventilation should be reduced and",0,,,,,,,,
2948,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,"In the present day, antimicrobials are less effective due to the pressure of anti-bacterial usage.",0,,,,,,,,
2953,Cost effectiveness evaluations based on cRCT data lack external validity.,Evaluations based on cRCT data in terms of cost effectiveness are lacking external validity.,0,,,,,,,,
2963,Bariatric surgery has a positive impact on mental health.,A positive role of abariatric surgery on the mental health has been performed.,0,,,,,,,,
2970,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is inadequate response to conventional treatment, the use of non-invasive ventilation should be reduced.",1,1,,,,,"(3, 5)",,
2996,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective against the pressure of antimedication use.,0,,,,,,,,
2997,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective due to the pressure of anti-microber usage.,0,,,,,,,,
3007,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has boosted mental health by having positive effects.,0,,,,,,,,
3008,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,Increasing the non-invasive ventilation should reduce when there is an inadequate response to traditional treatment.,0,,,,,,,,
3009,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,The non-invasive ventilation use should be reduced if there is an inadequate reaction to conventional therapy.,0,,,,,,,,
3036,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective due to the environment pressure and antimicrobial use.,0,,,,,,,,
3037,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,"Specifically, antimicrobial agents are less effective due to the pressure of antimicrobial usage.",1,1,,,,,7,2,
3038,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobials are more effective due to the impact of antimicrobial use.,1,1,,,,,3,,
3039,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective in the face of the use of antigen.,0,,,,,,,,
3043,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness analyses based on the CRCT data lack external validity.,0,,,,,,,,
3044,Cost effectiveness evaluations based on cRCT data lack external validity.,The cost effectiveness analyses based on the CRCT data lack external validity.,0,,,,,,,,
3063,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If it is inadequate to respond to the Conventional Treatment, the use of non-invasive ventilation should be decreased.",0,,,,,,,,
3089,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective due to the pressure of antibiotic use.,0,,,,,,,,
3090,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective due to their pressure of antibacterial use.,0,,,,,,,,
3101,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,The use of noninvasive ventilation should be decrease if there is an inadequate response to conventional treatment.,0,,,,,,,,
3102,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is inadequate treatment to conventional ventilation, non-invasive should be the reduced use.",0,,,,,,,,
3127,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more powerful because of their antibacterial use.,0,,,,,,,,
3128,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial materials are more effective due to the pressure of anti-bacterial use.,0,,,,,,,,
3141,Bariatric surgery has a positive impact on mental health., I have found that bariatric surgery has influenced mental health positively.,0,,,,,,,,
3142,Bariatric surgery has a positive impact on mental health.,In vivo bariatric surgery has onset of geriatric and psychological health.,0,,,,,,,,
3143,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has benefited in positive impact on mental health.,0,,,,,,,,
3144,Bariatric surgery has a positive impact on mental health.,"Bariatric surgery has, in my opinion of mental health positive effect.",0,,,,,,,,
3150,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,If the non-invasive ventilation use is inadequate or are not due to conventional treatment.,0,,,,,,,,
3151,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,"If there is inadequate response to conventional treatment, the non-invasive ventilation use should be decreased.",1,1,,,,,"(5, 7)",,